Time resolution is 1 ps
Time=0 | PC=0 | Mem[200]=7 | Mem[198]=x | R2=2 | R10=10 | R3=3 | HALTED=0 | TAKEN_BRANCH=0
Time=7000 | PC=1 | Mem[200]=7 | Mem[198]=x | R2=2 | R10=10 | R3=3 | HALTED=0 | TAKEN_BRANCH=0
Time=27000 | PC=2 | Mem[200]=7 | Mem[198]=x | R2=2 | R10=10 | R3=3 | HALTED=0 | TAKEN_BRANCH=0
Time=47000 | PC=3 | Mem[200]=7 | Mem[198]=x | R2=2 | R10=200 | R3=3 | HALTED=0 | TAKEN_BRANCH=0
Time=67000 | PC=4 | Mem[200]=7 | Mem[198]=x | R2=1 | R10=200 | R3=3 | HALTED=0 | TAKEN_BRANCH=0
Time=87000 | PC=5 | Mem[200]=7 | Mem[198]=x | R2=1 | R10=200 | R3=7 | HALTED=0 | TAKEN_BRANCH=0
Time=107000 | PC=6 | Mem[200]=7 | Mem[198]=x | R2=1 | R10=200 | R3=7 | HALTED=0 | TAKEN_BRANCH=0
Time=127000 | PC=7 | Mem[200]=7 | Mem[198]=x | R2=7 | R10=200 | R3=7 | HALTED=0 | TAKEN_BRANCH=0
Time=147000 | PC=8 | Mem[200]=7 | Mem[198]=x | R2=7 | R10=200 | R3=6 | HALTED=0 | TAKEN_BRANCH=0
Time=167000 | PC=9 | Mem[200]=7 | Mem[198]=x | R2=7 | R10=200 | R3=6 | HALTED=0 | TAKEN_BRANCH=0
Time=185000 | PC=9 | Mem[200]=7 | Mem[198]=x | R2=7 | R10=200 | R3=6 | HALTED=0 | TAKEN_BRANCH=1
Time=187000 | PC=5 | Mem[200]=7 | Mem[198]=x | R2=7 | R10=200 | R3=6 | HALTED=0 | TAKEN_BRANCH=0
Time=197000 | PC=5 | Mem[200]=7 | Mem[198]=7 | R2=7 | R10=200 | R3=6 | HALTED=0 | TAKEN_BRANCH=0
Time=207000 | PC=6 | Mem[200]=7 | Mem[198]=7 | R2=7 | R10=200 | R3=6 | HALTED=0 | TAKEN_BRANCH=0
Time=227000 | PC=7 | Mem[200]=7 | Mem[198]=7 | R2=42 | R10=200 | R3=6 | HALTED=0 | TAKEN_BRANCH=0
Time=247000 | PC=8 | Mem[200]=7 | Mem[198]=7 | R2=42 | R10=200 | R3=5 | HALTED=0 | TAKEN_BRANCH=0
Time=267000 | PC=9 | Mem[200]=7 | Mem[198]=7 | R2=42 | R10=200 | R3=5 | HALTED=0 | TAKEN_BRANCH=0
Time=285000 | PC=9 | Mem[200]=7 | Mem[198]=7 | R2=42 | R10=200 | R3=5 | HALTED=0 | TAKEN_BRANCH=1
Time=287000 | PC=5 | Mem[200]=7 | Mem[198]=7 | R2=42 | R10=200 | R3=5 | HALTED=0 | TAKEN_BRANCH=0
Time=297000 | PC=5 | Mem[200]=7 | Mem[198]=42 | R2=42 | R10=200 | R3=5 | HALTED=0 | TAKEN_BRANCH=0
Time=307000 | PC=6 | Mem[200]=7 | Mem[198]=42 | R2=42 | R10=200 | R3=5 | HALTED=0 | TAKEN_BRANCH=0
Time=327000 | PC=7 | Mem[200]=7 | Mem[198]=42 | R2=210 | R10=200 | R3=5 | HALTED=0 | TAKEN_BRANCH=0
Time=347000 | PC=8 | Mem[200]=7 | Mem[198]=42 | R2=210 | R10=200 | R3=4 | HALTED=0 | TAKEN_BRANCH=0
Time=367000 | PC=9 | Mem[200]=7 | Mem[198]=42 | R2=210 | R10=200 | R3=4 | HALTED=0 | TAKEN_BRANCH=0
Time=385000 | PC=9 | Mem[200]=7 | Mem[198]=42 | R2=210 | R10=200 | R3=4 | HALTED=0 | TAKEN_BRANCH=1
Time=387000 | PC=5 | Mem[200]=7 | Mem[198]=42 | R2=210 | R10=200 | R3=4 | HALTED=0 | TAKEN_BRANCH=0
Time=397000 | PC=5 | Mem[200]=7 | Mem[198]=210 | R2=210 | R10=200 | R3=4 | HALTED=0 | TAKEN_BRANCH=0
Time=407000 | PC=6 | Mem[200]=7 | Mem[198]=210 | R2=210 | R10=200 | R3=4 | HALTED=0 | TAKEN_BRANCH=0
Time=427000 | PC=7 | Mem[200]=7 | Mem[198]=210 | R2=840 | R10=200 | R3=4 | HALTED=0 | TAKEN_BRANCH=0
Time=447000 | PC=8 | Mem[200]=7 | Mem[198]=210 | R2=840 | R10=200 | R3=3 | HALTED=0 | TAKEN_BRANCH=0
Time=467000 | PC=9 | Mem[200]=7 | Mem[198]=210 | R2=840 | R10=200 | R3=3 | HALTED=0 | TAKEN_BRANCH=0
Time=485000 | PC=9 | Mem[200]=7 | Mem[198]=210 | R2=840 | R10=200 | R3=3 | HALTED=0 | TAKEN_BRANCH=1
Time=487000 | PC=5 | Mem[200]=7 | Mem[198]=210 | R2=840 | R10=200 | R3=3 | HALTED=0 | TAKEN_BRANCH=0
Time=497000 | PC=5 | Mem[200]=7 | Mem[198]=840 | R2=840 | R10=200 | R3=3 | HALTED=0 | TAKEN_BRANCH=0
Time=507000 | PC=6 | Mem[200]=7 | Mem[198]=840 | R2=840 | R10=200 | R3=3 | HALTED=0 | TAKEN_BRANCH=0
Time=527000 | PC=7 | Mem[200]=7 | Mem[198]=840 | R2=2520 | R10=200 | R3=3 | HALTED=0 | TAKEN_BRANCH=0
Time=547000 | PC=8 | Mem[200]=7 | Mem[198]=840 | R2=2520 | R10=200 | R3=2 | HALTED=0 | TAKEN_BRANCH=0
Time=567000 | PC=9 | Mem[200]=7 | Mem[198]=840 | R2=2520 | R10=200 | R3=2 | HALTED=0 | TAKEN_BRANCH=0
Time=585000 | PC=9 | Mem[200]=7 | Mem[198]=840 | R2=2520 | R10=200 | R3=2 | HALTED=0 | TAKEN_BRANCH=1
Time=587000 | PC=5 | Mem[200]=7 | Mem[198]=840 | R2=2520 | R10=200 | R3=2 | HALTED=0 | TAKEN_BRANCH=0
Time=597000 | PC=5 | Mem[200]=7 | Mem[198]=2520 | R2=2520 | R10=200 | R3=2 | HALTED=0 | TAKEN_BRANCH=0
Time=607000 | PC=6 | Mem[200]=7 | Mem[198]=2520 | R2=2520 | R10=200 | R3=2 | HALTED=0 | TAKEN_BRANCH=0
Time=627000 | PC=7 | Mem[200]=7 | Mem[198]=2520 | R2=5040 | R10=200 | R3=2 | HALTED=0 | TAKEN_BRANCH=0
Time=647000 | PC=8 | Mem[200]=7 | Mem[198]=2520 | R2=5040 | R10=200 | R3=1 | HALTED=0 | TAKEN_BRANCH=0
Time=667000 | PC=9 | Mem[200]=7 | Mem[198]=2520 | R2=5040 | R10=200 | R3=1 | HALTED=0 | TAKEN_BRANCH=0
Time=685000 | PC=9 | Mem[200]=7 | Mem[198]=2520 | R2=5040 | R10=200 | R3=1 | HALTED=0 | TAKEN_BRANCH=1
Time=687000 | PC=5 | Mem[200]=7 | Mem[198]=2520 | R2=5040 | R10=200 | R3=1 | HALTED=0 | TAKEN_BRANCH=0
